"Active Ingredient (link to Specific Guidance)","URL","Type","Route","Dosage Form","RLD or RS Number","Date Recommended","psg filename"
"Abacavir Sulfate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020977.pdf","Draft","Oral","Tablet","020977","10/30/2024","PSG_020977.pdf"
"Abacavir Sulfate; Dolutegravir Sodium; Lamivudine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_205551.pdf","Draft","Oral","Tablet","205551","10/30/2024","PSG_205551.pdf"
"Abacavir Sulfate; Dolutegravir Sodium; Lamivudine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_215413.pdf","Draft","Oral","Tablet, For Suspension","215413","10/30/2024","PSG_215413.pdf"
"Abacavir Sulfate; Lamivudine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021652.pdf","Draft","Oral","Tablet","021652","10/30/2024","PSG_021652.pdf"
"Abacavir Sulfate; Lamivudine; Zidovudine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_021205.pdf","Draft","Oral","Tablet","021205","10/30/2024","PSG_021205.pdf"
"Abametapir","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_206966.pdf","Draft","Topical","Lotion","206966","10/21/2022","PSG_206966.pdf"
"Abemaciclib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208716.pdf","Draft","Oral","Tablet","208716","10/30/2024","PSG_208716.pdf"
"Abiraterone Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210308.pdf","Draft","Oral","Tablet","210308","06/03/2020","PSG_210308.pdf"
"Abiraterone Acetate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Abiraterone acetate_oral tablet_NDA 202379_RV07-18.pdf","Draft","Oral","Tablet","202379","07/20/2018","Abiraterone acetate_oral tablet_NDA 202379_RV07-18.pdf"
"Abrocitinib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_213871.pdf","Draft","Oral","Tablet","213871","10/30/2024","PSG_213871.pdf"
"Acalabrutinib","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_210259.pdf","Draft","Oral","Capsule","210259","10/30/2024","PSG_210259.pdf"
"Acalabrutinib Maleate","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_216387.pdf","Draft","Oral","Tablet","216387","11/19/2024","PSG_216387.pdf"
"Acamprosate Calcium","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acamprosate calcium_oral DR tablet_RLD 21431 and 202229_RV03-17.pdf","Draft","Oral","Tablet, Delayed Release","021431","05/16/2017","Acamprosate calcium_oral DR tablet_RLD 21431 and 202229_RV03-17.pdf"
"Acarbose","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020482.pdf","Draft","Oral","Tablet","020482","05/19/2022","PSG_020482.pdf"
"Acetaminophen","https://www.accessdata.fda.gov/drugsatfda_docs/psg/Acetaminophen_ERtab_19872_RC2-11.pdf","Draft","Oral","Tablet, Extended Release","019872","02/23/2011","Acetaminophen_ERtab_19872_RC2-11.pdf"
"Acetaminophen","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_018337.pdf","Draft","Rectal","Suppository","018337","05/19/2022","PSG_018337.pdf"
"Acetaminophen; Aspirin; Caffeine","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_020802.pdf","Draft","Oral","Tablet","020802","10/30/2024","PSG_020802.pdf"
"Acetaminophen; Benzhydrocodone Hydrochloride","https://www.accessdata.fda.gov/drugsatfda_docs/psg/PSG_208653.pdf","Draft","Oral","Tablet","208653","10/30/2024","PSG_208653.pdf"
